"name_point","latitude","longitude","city","region","is_pause","distance_from_cremlin","tz_from_moscow","link_point"
Зеленодольск,"55.84637","48.513071",Зеленодольск,Татарстан,false,682.8176899543697,0,https://5verst.ru/solovinayaroshcha/
Алёшкинский лес,"55.864677","37.418188",Москва,Москва,false,17.607908306611527,0,https://5verst.ru/aleshkinskiyles/
Сормовский парк,"56.342098","43.861841",Нижний Новгород,Нижегородская,false,394.6045024127892,0,https://5verst.ru/sormovskiypark/
Парк Южный,"53.353072","58.983331",Магнитогорск,Челябинская,false,1402.2115942173252,2,https://5verst.ru/yuzhniy/
Динская,"45.236524","39.222543",Динская,Краснодарский,false,1175.202594086688,0,https://5verst.ru/dinskayakomsomolskiy/
Семёнов,"56.794359","44.509928",Семёнов,Нижегородская,false,442.3825840872264,0,https://5verst.ru/parkleninskogokomsomola/
Кстово,"56.16133","44.21767",Кстово,Нижегородская,false,414.7271751464418,0,https://5verst.ru/kstovoyubileyniy/
Усолье-Сибирское,"52.739712","103.66103",Усолье-Сибирское,Иркутская,false,4153.306110892683,5,https://5verst.ru/vsyasolsibiri/
Нижневартовск,"60.94653","76.57687",Нижневартовск,Ханты-Мансийский автономный округ,false,2315.7826748241405,2,https://5verst.ru/komsomolskoeozero/
Новороссийск,"44.709269","37.786414",Новороссийск,Краснодарский,false,1228.3967774485632,0,https://5verst.ru/naberezhnayaserebryakova/
Парк Городов-Героев,"59.840024","30.324102",Санкт-Петербург,Санкт-Петербург,false,628.0394074662265,0,https://5verst.ru/parkgorodovgeroev/
Бийск,"52.485985","85.149373",Бийск,Алтайский,false,3067.383385880582,4,https://5verst.ru/kvartalab/
Лихославль,"57.114678","35.458466",Лихославль,Тверская,false,201.7882694400965,0,https://5verst.ru/likhoslavl/
Академический,"56.785001","60.511608",Екатеринбург,Свердловская,false,1416.597143716514,2,https://5verst.ru/preobrazhenskiy/
Старый Оскол,"51.299323","37.893051",Старый Оскол,Белгородская,false,495.92766582276505,0,https://5verst.ru/ublinskiegory/
Вологда,"59.228316","39.910145",Вологда,Вологодская,false,410.7970207994118,0,https://5verst.ru/parkveteranov/
Черемхово,"53.143734","103.08309",Черемхово,Иркутская,false,4096.707170867807,5,https://5verst.ru/aleksandrovskayaploshchad/
Волна,"54.789899","55.876954",Уфа,Башкортостан,false,1162.2508912891146,2,https://5verst.ru/volna/
Берёзовский,"56.914553","60.823995",Берёзовский,Свердловская,false,1434.3835377185715,2,https://5verst.ru/tropazdorovya/
Полевской,"56.499924","60.255997",Полевской,Свердловская,false,1404.052758669575,2,https://5verst.ru/polevskoygorodskoypark/
Краснодар Парк 30-летия Победы,"45.020508","38.955252",Краснодар,Краснодарский,false,1197.4856603844196,0,https://5verst.ru/krasnodar30letiyapobedy/
Макаринская роща,"59.1152","37.98439",Череповец,Вологодская,false,375.18174237608025,0,https://5verst.ru/makarinskayaroshcha/
Малаховское озеро,"55.635197","38.011952",Люберцы,Московская,false,28.123531967290187,0,https://5verst.ru/malakhovskoeozero/
Банный лес,"56.113528","38.143",Красноармейск,Московская,false,52.00976973456274,0,https://5verst.ru/banniyles/
Воронеж Танаис,"51.653056","39.12825",Воронеж,Воронежская,false,467.0106703973957,0,https://5verst.ru/tanais/
Ивантеевка,"55.97838","37.91261",Ивантеевка,Московская,false,31.30440782134806,0,https://5verst.ru/ivanteevkagorodskoypark/
Изумрудные холмы,"55.840306","37.277055",Красногорск,Московская,false,23.39012728253126,0,https://5verst.ru/izumrudnyekholmy/
